Appareil suivi,consommation sur les deux années,"Type
"
Audio_TV,38.9,"Barre De Son
"
Audio_TV,27.7,"Barre De Son
"
Audio_TV,15.6,"Barre De Son
"
Audio_TV,15.4,"Barre De Son
"
Audio_TV,13.3,"Barre De Son 2
"
Audio_TV,24.0,"Home Cinéma
"
Audio_TV,0.5,"Home Cinéma
"
Audio_TV,19.9,"Home Cinéma
"
Audio_TV,6.8999999999999995,"Home Cinéma
"
Audio_TV,2.2,"Home Cinéma
"
Audio_TV,174.89999999999998,"Home Cinéma
"
Chaudières,392.0,"GAZ
"
Chaudières,278.0,"GAZ
"
Chaudières,102.5,"GAZ
"
Chaudières,214.10000000000002,"FIOUL
"
Chaudières,1067.8000000000002,"GAZ
"
Chaudières,931.7,"GAZ
"
Chaudières,402.3,"GAZ
"
Chaudières,122.0,"GAZ
"
Chaudières,186.3,"GAZ
"
Chaudières,292.1,"GAZ
"
Chaudières,488.9,"GAZ
"
Chaudières,566.5,"GAZ
"
Chaudières,192.7,"GAZ
"
Chaudières,168.1,"GAZ
"
Chaudières,460.9,"GAZ
"
Chaudières,203.79999999999998,"FIOUL
"
Chaudières,654.2,"GAZ
"
Chaudières,429.9,"GAZ
"
Chaudières,267.9,"GAZ
"
Chaudières,405.1,"GAZ
"
Chaudières,721.6,"GAZ
"
Chaudières,395.2,"GAZ
"
Chaudières,904.6999999999999,"FIOUL
"
Chaudières,249.0,"GAZ
"
Chaudières,1688.6,"FIOUL
"
Chaudières,978.1999999999999,"FIOUL
"
Chaudières,133.4,"GAZ
"
Chaudières,203.9,"GAZ
"
Clim_mob_rafraich_Déshum,85.9,"CLIMATISEUR SUR PRISE
"
Clim_mob_rafraich_Déshum,2781.8,"DÉSHUMIDIFCATEUR
"
Clim_mob_rafraich_Déshum,191.8,"DÉSHUMIDIFCATEUR
"
Clim_mob_rafraich_Déshum,29.3,"RAFRAICHISSEUR SUR PRISE
"
Clim_mob_rafraich_Déshum,15.5,"RAFRAICHISSEUR SUR PRISE
"
Congélateur,324.70000000000005,"ARMOIRE
"
Congélateur,235.39999999999998,"ARMOIRE
"
Congélateur,207.3,"ARMOIRE
"
Congélateur,538.7,"ARMOIRE
"
Congélateur,317.9,"ARMOIRE
"
Congélateur,189.0,"ARMOIRE
"
Congélateur,1467.1,"ARMOIRE
"
Congélateur,521.2,"ARMOIRE
"
Congélateur,890.5,"ARMOIRE
"
Congélateur,530.9,"ARMOIRE
"
Congélateur,319.5,"ARMOIRE
"
Congélateur,610.3,"ARMOIRE
"
Congélateur,760.2,"ARMOIRE
"
Congélateur,407.4,"ARMOIRE
"
Congélateur,316.5,"ARMOIRE
"
Congélateur,790.9,"ARMOIRE
"
Congélateur,241.0,"ARMOIRE
"
Congélateur,459.5,"ARMOIRE
"
Congélateur,1266.0,"ARMOIRE
"
Congélateur,622.4000000000001,"ARMOIRE
"
Congélateur,607.1,"ARMOIRE
"
Congélateur,527.9000000000001,"ARMOIRE
"
Congélateur,1784.5,"ARMOIRE
"
Congélateur,427.5,"ARMOIRE
"
Congélateur,476.6,"ARMOIRE
"
Congélateur,363.4,"ARMOIRE
"
Congélateur,1158.1,"ARMOIRE
"
Congélateur,480.20000000000005,"ARMOIRE
"
Congélateur,644.1,"COFFRE
"
Congélateur,1152.7,"COFFRE
"
Congélateur,292.5,"COFFRE
"
Congélateur,343.79999999999995,"COFFRE
"
Congélateur,431.4,"COFFRE
"
Congélateur,876.6,"COFFRE
"
Congélateur,1477.2,"COFFRE
"
Congélateur,441.1,"COFFRE
"
Congélateur,272.0,"COFFRE
"
Congélateur,560.0999999999999,"COFFRE
"
Congélateur,639.9000000000001,"COFFRE
"
Congélateur,236.60000000000002,"COFFRE
"
Congélateur,1260.5,"COFFRE
"
Congélateur,443.70000000000005,"COFFRE
"
Congélateur,250.8,"COFFRE
"
Congélateur,358.9,"COFFRE
"
Cuisinières,280.8,"FOUR ÉLECTRIQUE + PLAQUES GAZ
"
Cuisinières,224.3,"FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
"
Cuisinières,483.1,"FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
"
Cuisinières,255.5,"FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
"
Cuisinières,542.3,"FOUR+PLAQUES ÉLECTRIQUES
"
Cuisinières,509.6,"FOUR+PLAQUES ÉLECTRIQUES
"
Cuisinières,46.0,"FOUR+PLAQUES ÉLECTRIQUES
"
Cuisinières,418.9,"FOUR+PLAQUES ÉLECTRIQUES
"
Cuisinières,340.1,"FOUR+PLAQUES ÉLECTRIQUES
"
Cuisinières,147.6,"FOUR+PLAQUES ÉLECTRIQUES
"
Cuisinières,279.3,"FOUR+PLAQUES ÉLECTRIQUES
"
Cuisinières,385.6,"FOUR+PLAQUES ÉLECTRIQUES
"
Cuisinières,208.8,"FOUR+PLAQUES ÉLECTRIQUES
"
Cuisinières,443.9,"FOUR+PLAQUES ÉLECTRIQUES
"
Divers cuisine,2.8,"BLENDER
"
Divers cuisine,1.4,"CUISSEUR VAPEUR
"
Divers cuisine,34.2,"CUISSEUR VAPEUR
"
Divers cuisine,37.2,"CUISSEUR VAPEUR
"
Divers cuisine,47.5,"FRITEUSE
"
Divers cuisine,29.3,"FRITEUSE
"
Divers cuisine,43.8,"FRITEUSE
"
Divers cuisine,6.6,"GRILLE PAIN
"
Divers cuisine,10.6,"GRILLE PAIN
"
Divers cuisine,3.3,"RACLETTE
"
Divers cuisine,38.900000000000006,"RICE COOKER
"
Divers cuisine,6.5,"RICE COOKER
"
Eau chaude sanitaire,1854.5,"CETI
"
Eau chaude sanitaire,1667.2,"CETI
"
Eau chaude sanitaire,1333.6,"CETI
"
Eau chaude sanitaire,2590.3999999999996,"JOULE / CETI
"
Eau chaude sanitaire,1804.6999999999998,"JOULE
"
Eau chaude sanitaire,2370.5,"JOULE
"
Eau chaude sanitaire,1493.0,"JOULE
"
Eau chaude sanitaire,2869.2,"JOULE
"
Eau chaude sanitaire,1075.8,"JOULE
"
Eau chaude sanitaire,1785.0,"JOULE
"
Eau chaude sanitaire,2915.4,"JOULE
"
Eau chaude sanitaire,2276.8,"JOULE
"
Eau chaude sanitaire,1833.7,"JOULE
"
Eau chaude sanitaire,2765.7,"JOULE
"
Eau chaude sanitaire,3929.2,"JOULE
"
Eau chaude sanitaire,1778.0,"JOULE
"
Eau chaude sanitaire,3178.0,"JOULE
"
Eau chaude sanitaire,1062.3,"JOULE
"
Eau chaude sanitaire,4681.5,"JOULE
"
Eau chaude sanitaire,4175.7,"JOULE
"
Eau chaude sanitaire,3346.2,"JOULE
"
Eau chaude sanitaire,1536.4,"JOULE
"
Eau chaude sanitaire,3782.4,"JOULE
"
Eau chaude sanitaire,6481.8,"JOULE
"
Eau chaude sanitaire,2855.3,"JOULE
"
Eau chaude sanitaire,4313.4,"JOULE
"
Eau chaude sanitaire,4071.3,"JOULE
"
Eau chaude sanitaire,3949.3,"JOULE
"
Eau chaude sanitaire,3590.7,"JOULE
"
Eau chaude sanitaire,2167.5,"JOULE
"
Eau chaude sanitaire,4977.7,"JOULE
"
Eau chaude sanitaire,5765.299999999999,"JOULE
"
Eau chaude sanitaire,4387.0,"JOULE
"
Eau chaude sanitaire,2875.3999999999996,"JOULE
"
Eau chaude sanitaire,4750.5,"JOULE
"
Eau chaude sanitaire,6652.200000000001,"JOULE
"
Eau chaude sanitaire,1314.8,"JOULE
"
Eau chaude sanitaire,1345.6,"JOULE
"
Eau chaude sanitaire,1198.2,"JOULE
"
Eau chaude sanitaire,2671.0,"JOULE
"
Eau chaude sanitaire,296.5,"JOULE
"
Eau chaude sanitaire,2733.5,"JOULE
"
Eau chaude sanitaire,1549.5,"JOULE
"
Eau chaude sanitaire,1178.1,"JOULE
"
Eau chaude sanitaire,1499.8,"JOULE
"
Eau chaude sanitaire,2510.0,"JOULE
"
Eau chaude sanitaire,4608.5,"JOULE
"
Eau chaude sanitaire,2865.7,"JOULE
"
Hifi,1.3,"HIFI
"
Hifi,6.7,"HIFI
"
Hifi,95.9,"HIFI
"
Hifi,98.1,"HIFI
"
Hifi,27.1,"HIFI
"
Hifi,31.2,"HIFI
"
Hifi,45.0,"HIFI
"
Hifi,5.4,"HIFI
"
Hifi,134.9,"HIFI
"
Hifi,1.8,"HIFI
"
Hifi,87.2,"HIFI
"
Hifi,2.2,"HIFI
"
Hifi,9.4,"HIFI
"
Hifi,121.1,"HIFI
"
Hifi,165.89999999999998,"HIFI
"
Hifi,139.6,"HIFI
"
Hifi,30.4,"HIFI
"
Hifi,63.900000000000006,"HIFI
"
Hifi,298.5,"HIFI
"
Hifi,12.6,"HIFI
"
Hifi,107.1,"HIFI
"
Hifi,17.2,"HIFI
"
Hifi,2.0,"HIFI
"
Hifi,3.1,"HIFI
"
Hifi,7.6,"HIFI
"
Hifi,3.0,"HIFI
"
Hifi,264.2,"HIFI
"
Hifi,135.7,"HIFI
"
Hifi,4.6,"HIFI
"
Hifi,4.1,"HIFI
"
Hifi,8.7,"HIFI
"
Hifi,9.6,"HIFI
"
Hifi,27.0,"HIFI
"
Hifi,10.399999999999999,"HIFI 2
"
Imprimantes,2.7,"JET D'ENCRE
"
Imprimantes,9.299999999999999,"JET D'ENCRE
"
Imprimantes,34.3,"JET D'ENCRE
"
Imprimantes,3.2,"JET D'ENCRE
"
Imprimantes,23.3,"JET D'ENCRE
"
Imprimantes,5.8,"JET D'ENCRE
"
Imprimantes,1.0,"JET D'ENCRE
"
Imprimantes,0.5,"JET D'ENCRE
"
Imprimantes,10.5,"JET D'ENCRE
"
Imprimantes,21.200000000000003,"JET D'ENCRE
"
Imprimantes,34.8,"JET D'ENCRE
"
Imprimantes,55.2,"JET D'ENCRE
"
Imprimantes,0.5,"JET D'ENCRE
"
Imprimantes,0.5,"JET D'ENCRE
"
Imprimantes,19.2,"JET D'ENCRE
"
Imprimantes,2.4,"JET D'ENCRE
"
Imprimantes,0.7,"JET D'ENCRE
"
Imprimantes,22.6,"JET D'ENCRE
"
Imprimantes,1.2,"JET D'ENCRE
"
Imprimantes,2.9,"JET D'ENCRE
"
Imprimantes,18.5,"JET D'ENCRE
"
Imprimantes,16.9,"JET D'ENCRE
"
Imprimantes,3.5,"JET D'ENCRE
"
Imprimantes,0.2,"JET D'ENCRE
"
Imprimantes,0.5,"JET D'ENCRE
"
Imprimantes,3.5,"JET D'ENCRE
"
Imprimantes,5.6,"JET D'ENCRE
"
Imprimantes,1.0,"JET D'ENCRE
"
Imprimantes,24.5,"JET D'ENCRE
"
Imprimantes,5.3,"JET D'ENCRE
"
Imprimantes,17.6,"JET D'ENCRE
"
Imprimantes,0.5,"LASER
"
Imprimantes,64.2,"LASER
"
Imprimantes,0.9,"LASER
"
Imprimantes,2.8,"LASER
"
Imprimantes,26.4,"LASER
"
Imprimantes,100.0,"LASER
"
Imprimantes,0.30000000000000004,"LASER
"
Imprimantes,2.2,"LASER
"
Lave linge,76.4,"HUBLOT
"
Lave linge,386.5,"HUBLOT
"
Lave linge,20.200000000000003,"HUBLOT
"
Lave linge,166.2,"HUBLOT
"
Lave linge,115.5,"HUBLOT
"
Lave linge,255.5,"HUBLOT
"
Lave linge,115.7,"HUBLOT
"
Lave linge,34.4,"HUBLOT
"
Lave linge,126.1,"HUBLOT
"
Lave linge,503.7,"HUBLOT
"
Lave linge,84.9,"HUBLOT
"
Lave linge,239.7,"HUBLOT
"
Lave linge,94.8,"HUBLOT
"
Lave linge,180.5,"HUBLOT
"
Lave linge,45.6,"HUBLOT
"
Lave linge,141.3,"HUBLOT
"
Lave linge,155.8,"HUBLOT
"
Lave linge,27.0,"HUBLOT
"
Lave linge,271.4,"HUBLOT
"
Lave linge,98.0,"HUBLOT
"
Lave linge,142.3,"HUBLOT
"
Lave linge,117.0,"HUBLOT
"
Lave linge,220.39999999999998,"HUBLOT
"
Lave linge,223.2,"HUBLOT
"
Lave linge,661.3,"HUBLOT
"
Lave linge,278.70000000000005,"HUBLOT
"
Lave linge,164.10000000000002,"HUBLOT
"
Lave linge,49.3,"HUBLOT
"
Lave linge,648.2,"HUBLOT
"
Lave linge,286.7,"HUBLOT
"
Lave linge,508.1,"HUBLOT
"
Lave linge,192.0,"HUBLOT
"
Lave linge,199.5,"HUBLOT
"
Lave linge,250.4,"HUBLOT
"
Lave linge,35.2,"HUBLOT
"
Lave linge,119.0,"HUBLOT
"
Lave linge,277.79999999999995,"HUBLOT
"
Lave linge,202.1,"HUBLOT
"
Lave linge,120.30000000000001,"HUBLOT
"
Lave linge,277.5,"HUBLOT
"
Lave linge,269.29999999999995,"HUBLOT
"
Lave linge,247.3,"HUBLOT
"
